name,slug,description,sku,price,trackInventory,stockOnHand,enabled,assetUrls,customFields:analogInputs,customFields:brand,customFields:category,customFields:commercialStatus,customFields:communication,customFields:depth,customFields:digitalInputs,customFields:digitalOutputs,customFields:height,customFields:productType,customFields:programmingLanguage,customFields:statusCode,customFields:voltage,customFields:weight,customFields:width,customFields:stockStatus
CONTROLER M221-40ES TR.N PN ETHERNET,controler-m221-40es-tr-n-pn-ethernet,CONTROLER M221-40ES TR.N PN ETHERNET - Schneider Electric,TM221CE40U,1272.42,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130255&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130255&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"11,2 cm",24,16,"14,3 cm",TM221,Ladder,others,24V,"736,0 g","21,0 cm",inStock
"Automat Programabil M221 Cu 40 Io Pe Relee, Cu Ethernet",automat-programabil-m221-cu-40-io-pe-relee-cu-ethernet,"Automat Programabil M221 Cu 40 Io Pe Relee, Cu Ethernet - Schneider Electric",TM221CE40R,1363.25,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130232&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130232&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"21,085 cm",24,0,"11,09 cm",TM221,Ladder,others,24V,"830,0 g","14,183 cm",inStock
"Automat Programabil M221 Cu 40 Io Pe Tranzistor Pnp, Cu Ethernet",automat-programabil-m221-cu-40-io-pe-tranzistor-pnp-cu-ethernet,"Automat Programabil M221 Cu 40 Io Pe Tranzistor Pnp, Cu Ethernet - Schneider Electric",TM221CE40T,0,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130234&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130234&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"21,045 cm",24,16,"11,139 cm",TM221,Ladder,others,24V,"760,0 g","14,201 cm",inStock
"Automat Programabil M221 cu 16 Io pe Relee, Borne cu Arc",automat-programabil-m221-cu-16-io-pe-relee-borne-cu-arc,"Automat Programabil M221 cu 16 Io pe Relee, Borne cu Arc - Schneider Electric",TM221M16RG,939.61,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130236&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130236&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"12,800 cm",8,8,"11,300 cm",TM221,Ladder,others,24V,"422,000 g","10,200 cm",inStock
Automat Programabil M221 cu 16 Io pe Tranzistor Pnp,automat-programabil-m221-cu-16-io-pe-tranzistor-pnp,Automat Programabil M221 cu 16 Io pe Tranzistor Pnp - Schneider Electric,TM221M16T,912.25,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130239&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130239&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"12,600 cm",8,8,"10,800 cm",TM221,Ladder,others,24V,"415,000 g","10,000 cm",inStock
"Automat Programabil M221 cu 16 Io pe Tranzistor Pnp, Borne cu Arc",automat-programabil-m221-cu-16-io-pe-tranzistor-pnp-borne-cu-arc,"Automat Programabil M221 cu 16 Io pe Tranzistor Pnp, Borne cu Arc - Schneider Electric",TM221M16TG,912.25,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130240&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130240&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"12,6 cm",8,8,"10,8 cm",TM221,Ladder,others,24V,"420,0 g","10,0 cm",inStock
Automat Programabil M221 cu 16 Io pe Relee,automat-programabil-m221-cu-16-io-pe-relee,Automat Programabil M221 cu 16 Io pe Relee - Schneider Electric,TM221M16R,912.25,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130235&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130235&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+RS485+RS232+USB,"12,81 cm",8,8,"10,041 cm",TM221,Ladder,others,24V,"440,0 g","10,83 cm",inStock
"Automat Programabil M221 Cu 16 Io Pe Tranzistor Pnp, Cu Ethernet, Borne Cu Arc",automat-programabil-m221-cu-16-io-pe-tranzistor-pnp-cu-ethernet-borne-cu-arc,"Automat Programabil M221 Cu 16 Io Pe Tranzistor Pnp, Cu Ethernet, Borne Cu Arc - Schneider Electric",TM221ME16TG,987.93,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130242&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130242&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"12,500 cm",8,8,"10,500 cm",TM221,Ladder,others,24V,"400,000 g","9,600 cm",inStock
"Automat Programabil M221 Cu 16 Io Pe Relee, Cu Ethernet, Borne Cu Arc",automat-programabil-m221-cu-16-io-pe-relee-cu-ethernet-borne-cu-arc,"Automat Programabil M221 Cu 16 Io Pe Relee, Cu Ethernet, Borne Cu Arc - Schneider Electric",TM221ME16RG,1007.7,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130238&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130238&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"9,8 cm",8,8,"10,7 cm",TM221,Ladder,others,24V,"440,0 g","12,7 cm",inStock
"Automat Programabil M221 Cu 16 Io Pe Tranzistor Pnp, Cu Ethernet",automat-programabil-m221-cu-16-io-pe-tranzistor-pnp-cu-ethernet,"Automat Programabil M221 Cu 16 Io Pe Tranzistor Pnp, Cu Ethernet - Schneider Electric",TM221ME16T,1007.69,TRUE,100,TRUE,https://download.se.com/files?p_Doc_Ref=PF130241&p_File_Type=rendition_1500_jpg|https://download.se.com/files?p_Doc_Ref=PF130241&p_File_Type=rendition_369_jpg,2,schneider,plc,Comercializat,Modbus+Ethernet+Ethernet+RS485+RS232+USB,"12,6 cm",8,8,"10,8 cm",TM221,Ladder,others,24V,"430,0 g","10,0 cm",inStock
